"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Добавление товара в таблицу","Успешное добавление товара в таблицу true Ананас Фрукт FRUIT","0","0","1","0","0"
"","Добавление товара в таблицу","Успешное добавление товара в таблицу false йцю123qw!@#$%^&*()_+\/| Овощ VEGETABLE","0","0","0","1","0"
